"","cat_a","cat_b","estado","canal","gec","lift"
"60","LÁCTEOS","AGUA SIN GAS","VDM Oriente","MODERNO","PLATA",0.970077343897378
"61","AGUA SIN GAS","LÁCTEOS","VDM Oriente","MODERNO","PLATA",0.970077343897378
"62","AGUA SIN GAS","COLAS","VDM Oriente","MODERNO","PLATA",0.971808965863619
"63","LÁCTEOS","SABORES","VDM Oriente","MODERNO","PLATA",1.07102075052036
"64","SABORES","LÁCTEOS","VDM Oriente","MODERNO","PLATA",1.07102075052036
"65","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Oriente","MODERNO","PLATA",1.19230927213977
"66","AGUA SIN GAS","SABORES","VDM Oriente","MODERNO","PLATA",1.19414831925531
"67","COLAS","COLAS","VDM Oriente","MODERNO","PLATA",1.2168590875214
"68","COLAS","SABORES","VDM Oriente","MODERNO","PLATA",1.24903848433268
"69","COLAS","LÁCTEOS","VDM Oriente","MODERNO","PLATA",1.27041720249653
"70","SABORES","SABORES","VDM Oriente","MODERNO","PLATA",1.31372563283484
"71","COLAS","NARANJADAS Y BEBIDAS","VDM Oriente","MODERNO","PLATA",1.37816728460685
"72","NARANJADAS Y BEBIDAS","SABORES","VDM Oriente","MODERNO","PLATA",1.60586721829674
"73","SABORES","NARANJADAS Y BEBIDAS","VDM Oriente","MODERNO","PLATA",1.60586721829674
"74","LÁCTEOS","NARANJADAS Y BEBIDAS","VDM Oriente","MODERNO","PLATA",1.72645161290323
"75","AGUA SIN GAS","AGUA SIN GAS","VDM Oriente","MODERNO","PLATA",2.65025466893039
"76","LÁCTEOS","NARANJADAS Y BEBIDAS","VDM Oriente","ON PREMISE","BRONCE",0.541337992468028
"77","COLAS","NARANJADAS Y BEBIDAS","VDM Oriente","ON PREMISE","BRONCE",0.619664954629986
"78","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Oriente","ON PREMISE","BRONCE",0.766066949946212
"79","LÁCTEOS","SABORES","VDM Oriente","ON PREMISE","BRONCE",0.775533268557437
