"","cat_a","cat_b","estado","canal","gec","lift"
"253","NARANJADAS Y BEBIDAS","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","PLATA",1.25832815028564
"254","LÁCTEOS","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","PLATA",1.27514688410086
"255","AGUA SIN GAS","LÁCTEOS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","PLATA",1.29107649834442
"256","NARANJADAS Y BEBIDAS","LÁCTEOS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","PLATA",1.30012440671071
"257","LÁCTEOS","NARANJADAS Y BEBIDAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","PLATA",1.30012440671071
"258","NARANJADAS Y BEBIDAS","NARANJADAS Y BEBIDAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","PLATA",1.31554629085413
"259","AGUA SIN GAS","AGUA SIN GAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","PLATA",1.55654212701507
"260","ISOTÓNICO E HIDROTON","ISOTÓNICO E HIDROTON","VDM Poniente","INDIRECTOS","BRONCE",0.833333333333333
"261","COLAS","NARANJADAS Y BEBIDAS","VDM Poniente","INDIRECTOS","BRONCE",0.876543209876543
"262","ISOTÓNICO E HIDROTON","NARANJADAS Y BEBIDAS","VDM Poniente","INDIRECTOS","BRONCE",1.11111111111111
"263","COLAS","COLAS","VDM Poniente","INDIRECTOS","BRONCE",1.13888888888889
"264","NARANJADAS Y BEBIDAS","SABORES","VDM Poniente","INDIRECTOS","BRONCE",1.16319444444444
"265","COLAS","ISOTÓNICO E HIDROTON","VDM Poniente","INDIRECTOS","BRONCE",1.24691358024691
"266","COLAS","SABORES","VDM Poniente","INDIRECTOS","BRONCE",1.37037037037037
"267","SABORES","SABORES","VDM Poniente","INDIRECTOS","BRONCE",1.42857142857143
"268","ISOTÓNICO E HIDROTON","SABORES","VDM Poniente","INDIRECTOS","BRONCE",1.55381944444444
"269","AGUA SIN GAS","COLAS","VDM Poniente","INDIRECTOS","BRONCE",1.61728395061728
"270","AGUA SIN GAS","AGUA SIN GAS","VDM Poniente","INDIRECTOS","BRONCE",1.66666666666667
"271","AGUA SIN GAS","SABORES","VDM Poniente","INDIRECTOS","BRONCE",1.94444444444444
"272","BEBIDAS DE SOYA","COLAS","VDM Poniente","INDIRECTOS","CUSTOMIZADO",1.14395493854716
"273","COLAS","COLAS","VDM Poniente","INDIRECTOS","CUSTOMIZADO",1.18969806697122
"274","COLAS","LÁCTEOS","VDM Poniente","INDIRECTOS","CUSTOMIZADO",1.20129632295113
"275","COLAS","JUGOS Y NÉCTARES","VDM Poniente","INDIRECTOS","CUSTOMIZADO",1.20478772277938
"276","COLAS","NARANJADAS Y BEBIDAS","VDM Poniente","INDIRECTOS","CUSTOMIZADO",1.23083454234857
"277","COLAS","SABORES","VDM Poniente","INDIRECTOS","CUSTOMIZADO",1.23288336846433
"278","BEBIDAS DE SOYA","NARANJADAS Y BEBIDAS","VDM Poniente","INDIRECTOS","CUSTOMIZADO",1.26905611023611
"279","LÁCTEOS","NARANJADAS Y BEBIDAS","VDM Poniente","INDIRECTOS","CUSTOMIZADO",1.26917056606495
"280","JUGOS Y NÉCTARES","LÁCTEOS","VDM Poniente","INDIRECTOS","CUSTOMIZADO",1.28634906110638
"281","LÁCTEOS","SABORES","VDM Poniente","INDIRECTOS","CUSTOMIZADO",1.30861564449254
"282","JUGOS Y NÉCTARES","SABORES","VDM Poniente","INDIRECTOS","CUSTOMIZADO",1.3123074457008
"283","BEBIDAS DE SOYA","JUGOS Y NÉCTARES","VDM Poniente","INDIRECTOS","CUSTOMIZADO",1.31294819510603
"284","BEBIDAS DE SOYA","SABORES","VDM Poniente","INDIRECTOS","CUSTOMIZADO",1.33539281872533
"285","JUGOS Y NÉCTARES","NARANJADAS Y BEBIDAS","VDM Poniente","INDIRECTOS","CUSTOMIZADO",1.34960048599854
"286","NARANJADAS Y BEBIDAS","SABORES","VDM Poniente","INDIRECTOS","CUSTOMIZADO",1.36841811742288
"287","SABORES","SABORES","VDM Poniente","INDIRECTOS","CUSTOMIZADO",1.37668804106055
"288","JUGOS Y NÉCTARES","JUGOS Y NÉCTARES","VDM Poniente","INDIRECTOS","CUSTOMIZADO",1.8443953583014
"289","BEBIDAS DE SOYA","LÁCTEOS","VDM Poniente","INDIRECTOS","CUSTOMIZADO",2.65623665982732
"290","LÁCTEOS","BEBIDAS DE SOYA","VDM Poniente","INDIRECTOS","CUSTOMIZADO",2.65623665982732
"291","NARANJADAS Y BEBIDAS","AGUA SIN GAS","VDM Poniente","MODERNO","BRONCE",0.490560198418946
"292","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Poniente","MODERNO","BRONCE",0.490560198418946
"293","AGUA CON GAS","NARANJADAS Y BEBIDAS","VDM Poniente","MODERNO","BRONCE",0.524904214559387
"294","COLAS","COLAS","VDM Poniente","MODERNO","BRONCE",1.33278300427738
"295","AGUA SIN GAS","COLAS","VDM Poniente","MODERNO","BRONCE",1.39292978499885
"296","COLAS","SABORES","VDM Poniente","MODERNO","BRONCE",1.59602654156251
"297","COLAS","NARANJADAS Y BEBIDAS","VDM Poniente","MODERNO","BRONCE",1.60483798081756
"298","NARANJADAS Y BEBIDAS","SABORES","VDM Poniente","MODERNO","BRONCE",1.78360165252965
"299","AGUA SIN GAS","SABORES","VDM Poniente","MODERNO","BRONCE",1.84419731364927
"300","AGUA CON GAS","COLAS","VDM Poniente","MODERNO","BRONCE",1.92477969930669
"301","SABORES","SABORES","VDM Poniente","MODERNO","BRONCE",2.15952110488844
"302","AGUA CON GAS","SABORES","VDM Poniente","MODERNO","BRONCE",2.77466074058489
"303","AGUA SIN GAS","AGUA SIN GAS","VDM Poniente","MODERNO","BRONCE",2.81029003460191
"304","AGUA CON GAS","AGUA SIN GAS","VDM Poniente","MODERNO","BRONCE",3.50986523106594
"305","AGUA SIN GAS","AGUA CON GAS","VDM Poniente","MODERNO","BRONCE",3.50986523106594
"306","GARRAFON","NARANJADAS Y BEBIDAS","VDM Poniente","MODERNO","CUSTOMIZADO",0.152366673092347
"307","NARANJADAS Y BEBIDAS","GARRAFON","VDM Poniente","MODERNO","CUSTOMIZADO",0.152366673092347
"308","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Poniente","MODERNO","CUSTOMIZADO",0.645772123183458
"309","GARRAFON","COLAS","VDM Poniente","MODERNO","CUSTOMIZADO",0.873265539159312
"310","COLAS","GARRAFON","VDM Poniente","MODERNO","CUSTOMIZADO",0.873265539159312
"311","AGUA CON GAS","NARANJADAS Y BEBIDAS","VDM Poniente","MODERNO","CUSTOMIZADO",0.965498408343635
"312","NARANJADAS Y BEBIDAS","AGUA CON GAS","VDM Poniente","MODERNO","CUSTOMIZADO",0.965498408343636
"313","NARANJADAS Y BEBIDAS","SABORES","VDM Poniente","MODERNO","CUSTOMIZADO",0.984938285253422
"314","SABORES","NARANJADAS Y BEBIDAS","VDM Poniente","MODERNO","CUSTOMIZADO",0.984938285253423
"315","AGUA SIN GAS","COLAS","VDM Poniente","MODERNO","CUSTOMIZADO",0.992014952989891
"316","AGUA CON GAS","COLAS","VDM Poniente","MODERNO","CUSTOMIZADO",1.01786568796225
"317","COLAS","SABORES","VDM Poniente","MODERNO","CUSTOMIZADO",1.02399756719233
"318","SABORES","SABORES","VDM Poniente","MODERNO","CUSTOMIZADO",1.09625672497526
"319","COLAS","COLAS","VDM Poniente","MODERNO","CUSTOMIZADO",1.10087819206292
"320","AGUA CON GAS","SABORES","VDM Poniente","MODERNO","CUSTOMIZADO",1.10449243757196
"321","AGUA CON GAS","AGUA SIN GAS","VDM Poniente","MODERNO","CUSTOMIZADO",1.10836844671336
"322","AGUA SIN GAS","SABORES","VDM Poniente","MODERNO","CUSTOMIZADO",1.10931597954794
"323","AGUA CON GAS","GARRAFON","VDM Poniente","MODERNO","CUSTOMIZADO",1.1467268915095
"324","GARRAFON","SABORES","VDM Poniente","MODERNO","CUSTOMIZADO",1.24084250984933
"325","AGUA SIN GAS","AGUA SIN GAS","VDM Poniente","MODERNO","CUSTOMIZADO",1.25108609234569
"326","COLAS","NARANJADAS Y BEBIDAS","VDM Poniente","MODERNO","CUSTOMIZADO",1.38700443283364
"327","AGUA SIN GAS","GARRAFON","VDM Poniente","MODERNO","CUSTOMIZADO",1.47376992995129
"328","AGUA SIN GAS","COLAS","VDM Poniente","MODERNO","ORO",1.31489481015879
"329","COLAS","COLAS","VDM Poniente","MODERNO","ORO",1.37188852299366
"330","COLAS","ENERGIZANTES","VDM Poniente","MODERNO","ORO",1.38809707373372
"331","COLAS","NARANJADAS Y BEBIDAS","VDM Poniente","MODERNO","ORO",1.3942804157765
"332","AGUA SIN GAS","ENERGIZANTES","VDM Poniente","MODERNO","ORO",1.5
"333","COLAS","LÁCTEOS","VDM Poniente","MODERNO","ORO",1.5010064773196
"334","LÁCTEOS","NARANJADAS Y BEBIDAS","VDM Poniente","MODERNO","ORO",1.52079395085066
"335","LÁCTEOS","LÁCTEOS","VDM Poniente","MODERNO","ORO",1.52173913043478
"336","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Poniente","MODERNO","ORO",1.52608695652174
"337","NARANJADAS Y BEBIDAS","SABORES","VDM Poniente","MODERNO","ORO",1.53260869565217
"338","COLAS","SABORES","VDM Poniente","MODERNO","ORO",1.54714125160554
"339","AGUA SIN GAS","AGUA SIN GAS","VDM Poniente","MODERNO","ORO",1.575
"340","AGUA SIN GAS","LÁCTEOS","VDM Poniente","MODERNO","ORO",1.70869565217391
"341","SABORES","SABORES","VDM Poniente","MODERNO","ORO",1.75
"342","LÁCTEOS","SABORES","VDM Poniente","MODERNO","ORO",1.76086956521739
"343","AGUA SIN GAS","SABORES","VDM Poniente","MODERNO","ORO",1.8
"344","AGUA SIN GAS","COLAS","VDM Poniente","MODERNO","PLATA",0.760558492624386
"345","AGUA SIN GAS","SABORES","VDM Poniente","MODERNO","PLATA",1.04592018112177
"346","COLAS","COLAS","VDM Poniente","MODERNO","PLATA",1.27368742281882
"347","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Poniente","MODERNO","PLATA",1.28747633787956
"348","COLAS","SABORES","VDM Poniente","MODERNO","PLATA",1.39459876443606
"349","NARANJADAS Y BEBIDAS","COLAS","VDM Poniente","MODERNO","PLATA",1.49025430094781
"350","COLAS","NARANJADAS Y BEBIDAS","VDM Poniente","MODERNO","PLATA",1.49025430094781
"351","SABORES","SABORES","VDM Poniente","MODERNO","PLATA",1.87252164654571
"352","AGUA SIN GAS","AGUA SIN GAS","VDM Poniente","MODERNO","PLATA",1.93221066484955
"353","NARANJADAS Y BEBIDAS","SABORES","VDM Poniente","MODERNO","PLATA",2.05298327995968
"354","AGUA CON GAS","GARRAFON","VDM Poniente","ON PREMISE","BRONCE",0
"355","COLAS","GARRAFON","VDM Poniente","ON PREMISE","BRONCE",0.586810087316282
"356","LÁCTEOS","SABORES","VDM Poniente","ON PREMISE","BRONCE",0.876464931599558
"357","NARANJADAS Y BEBIDAS","LÁCTEOS","VDM Poniente","ON PREMISE","BRONCE",0.893899388642967
"358","LÁCTEOS","NARANJADAS Y BEBIDAS","VDM Poniente","ON PREMISE","BRONCE",0.893899388642967
"359","AGUA CON GAS","LÁCTEOS","VDM Poniente","ON PREMISE","BRONCE",1.04837674743877
"360","COLAS","SABORES","VDM Poniente","ON PREMISE","BRONCE",1.05952823412405
"361","AGUA SIN GAS","SABORES","VDM Poniente","ON PREMISE","BRONCE",1.06554462118592
"362","COLAS","NARANJADAS Y BEBIDAS","VDM Poniente","ON PREMISE","BRONCE",1.0981096314326
"363","GARRAFON","SABORES","VDM Poniente","ON PREMISE","BRONCE",1.13199801767566
"364","AGUA CON GAS","AGUA SIN GAS","VDM Poniente","ON PREMISE","BRONCE",1.13654474190385
"365","COLAS","LÁCTEOS","VDM Poniente","ON PREMISE","BRONCE",1.17926893607785
"366","COLAS","COLAS","VDM Poniente","ON PREMISE","BRONCE",1.24170743524571
"367","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Poniente","ON PREMISE","BRONCE",1.25231325555582
"368","AGUA CON GAS","NARANJADAS Y BEBIDAS","VDM Poniente","ON PREMISE","BRONCE",1.30594449537906
"369","NARANJADAS Y BEBIDAS","AGUA CON GAS","VDM Poniente","ON PREMISE","BRONCE",1.30594449537906
"370","COLAS","AGUA SIN GAS","VDM Poniente","ON PREMISE","BRONCE",1.41245699031612
"371","AGUA SIN GAS","COLAS","VDM Poniente","ON PREMISE","BRONCE",1.41245699031612
"372","SABORES","SABORES","VDM Poniente","ON PREMISE","BRONCE",1.45665641592844
"373","AGUA SIN GAS","GARRAFON","VDM Poniente","ON PREMISE","BRONCE",1.45883008825654
"374","COLAS","AGUA CON GAS","VDM Poniente","ON PREMISE","BRONCE",1.47484857702204
"375","AGUA CON GAS","COLAS","VDM Poniente","ON PREMISE","BRONCE",1.47484857702204
"376","AGUA SIN GAS","LÁCTEOS","VDM Poniente","ON PREMISE","BRONCE",1.4766874729744
"377","NARANJADAS Y BEBIDAS","NARANJADAS Y BEBIDAS","VDM Poniente","ON PREMISE","BRONCE",1.52615268301403
"378","SABORES","NARANJADAS Y BEBIDAS","VDM Poniente","ON PREMISE","BRONCE",1.71786004367664
"379","NARANJADAS Y BEBIDAS","SABORES","VDM Poniente","ON PREMISE","BRONCE",1.71786004367664
"380","SABORES","AGUA CON GAS","VDM Poniente","ON PREMISE","BRONCE",1.73793526386105
"381","AGUA CON GAS","SABORES","VDM Poniente","ON PREMISE","BRONCE",1.73793526386105
"382","AGUA SIN GAS","AGUA SIN GAS","VDM Poniente","ON PREMISE","BRONCE",3.77685823377518
"383","AGUA ADICIONADA","AGUA CON GAS","VDM Poniente","ON PREMISE","CUSTOMIZADO",0.298639744126686
"384","AGUA SIN GAS","AGUA SIN GAS","VDM Poniente","ON PREMISE","CUSTOMIZADO",0.312119667555131
"385","AGUA CON GAS","TÉ","VDM Poniente","ON PREMISE","CUSTOMIZADO",0.667881614950395
"386","AGUA SIN GAS","AGUA CON GAS","VDM Poniente","ON PREMISE","CUSTOMIZADO",0.773191961835425
"387","AGUA CON GAS","AGUA SIN GAS","VDM Poniente","ON PREMISE","CUSTOMIZADO",0.773191961835425
"388","AGUA CON GAS","SABORES","VDM Poniente","ON PREMISE","CUSTOMIZADO",0.855703727523797
"389","AGUA CON GAS","COLAS","VDM Poniente","ON PREMISE","CUSTOMIZADO",0.875699924481362
"390","COLAS","COLAS","VDM Poniente","ON PREMISE","CUSTOMIZADO",0.946046874747592
"391","AGUA SIN GAS","COLAS","VDM Poniente","ON PREMISE","CUSTOMIZADO",1.12320108067794
"392","COLAS","SABORES","VDM Poniente","ON PREMISE","CUSTOMIZADO",1.37180072519301
"393","AGUA ADICIONADA","COLAS","VDM Poniente","ON PREMISE","CUSTOMIZADO",1.43393488240865
"394","COLAS","TÉ","VDM Poniente","ON PREMISE","CUSTOMIZADO",1.50733738956402
"395","AGUA SIN GAS","SABORES","VDM Poniente","ON PREMISE","CUSTOMIZADO",1.8173142526346
"396","AGUA SIN GAS","TÉ","VDM Poniente","ON PREMISE","CUSTOMIZADO",1.89749557623328
"397","SABORES","SABORES","VDM Poniente","ON PREMISE","CUSTOMIZADO",1.92780360685861
"398","AGUA CON GAS","AGUA CON GAS","VDM Poniente","ON PREMISE","CUSTOMIZADO",2.56072395890733
"399","SABORES","TÉ","VDM Poniente","ON PREMISE","CUSTOMIZADO",2.84566195862613
"400","AGUA ADICIONADA","AGUA SIN GAS","VDM Poniente","ON PREMISE","CUSTOMIZADO",3.0487181182519
"401","AGUA SIN GAS","AGUA ADICIONADA","VDM Poniente","ON PREMISE","CUSTOMIZADO",3.0487181182519
"402","AGUA ADICIONADA","SABORES","VDM Poniente","ON PREMISE","CUSTOMIZADO",3.3897898766957
"403","AGUA ADICIONADA","TÉ","VDM Poniente","ON PREMISE","CUSTOMIZADO",4.11877659824552
"404","AGUA ADICIONADA","AGUA ADICIONADA","VDM Poniente","ON PREMISE","CUSTOMIZADO",6.10468048641526
"405","ISOTÓNICO E HIDROTON","NARANJADAS Y BEBIDAS","VDM Poniente","ON PREMISE","ORO",0.147581761160602
"406","AGUA CON GAS","ISOTÓNICO E HIDROTON","VDM Poniente","ON PREMISE","ORO",0.169259121459172
"407","COLAS","NARANJADAS Y BEBIDAS","VDM Poniente","ON PREMISE","ORO",0.730595851345541
"408","NARANJADAS Y BEBIDAS","COLAS","VDM Poniente","ON PREMISE","ORO",0.730595851345541
"409","AGUA CON GAS","COLAS","VDM Poniente","ON PREMISE","ORO",0.78622832183002
"410","AGUA SIN GAS","AGUA CON GAS","VDM Poniente","ON PREMISE","ORO",0.892673243255375
"411","AGUA CON GAS","AGUA SIN GAS","VDM Poniente","ON PREMISE","ORO",0.892673243255375
"412","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Poniente","ON PREMISE","ORO",1.01218116344687
"413","SABORES","SABORES","VDM Poniente","ON PREMISE","ORO",1.09662498154071
"414","AGUA SIN GAS","COLAS","VDM Poniente","ON PREMISE","ORO",1.22197177663356
"415","COLAS","COLAS","VDM Poniente","ON PREMISE","ORO",1.26716241321236
"416","COLAS","SABORES","VDM Poniente","ON PREMISE","ORO",1.30797252499266
"417","AGUA SIN GAS","SABORES","VDM Poniente","ON PREMISE","ORO",1.37142910255072
"418","AGUA SIN GAS","AGUA SIN GAS","VDM Poniente","ON PREMISE","ORO",1.52144358484955
"419","COLAS","ISOTÓNICO E HIDROTON","VDM Poniente","ON PREMISE","ORO",1.5595156077402
"420","AGUA SIN GAS","ISOTÓNICO E HIDROTON","VDM Poniente","ON PREMISE","ORO",1.58408860542281
"421","SABORES","ISOTÓNICO E HIDROTON","VDM Poniente","ON PREMISE","ORO",1.63612126207659
"422","ISOTÓNICO E HIDROTON","SABORES","VDM Poniente","ON PREMISE","ORO",1.63612126207659
"423","AGUA CON GAS","SABORES","VDM Poniente","ON PREMISE","ORO",1.68658907875324
"424","SABORES","AGUA CON GAS","VDM Poniente","ON PREMISE","ORO",1.68658907875324
"425","NARANJADAS Y BEBIDAS","SABORES","VDM Poniente","ON PREMISE","ORO",1.68771197278427
"426","NARANJADAS Y BEBIDAS","AGUA CON GAS","VDM Poniente","ON PREMISE","ORO",3.01033877517322
"427","AGUA CON GAS","NARANJADAS Y BEBIDAS","VDM Poniente","ON PREMISE","ORO",3.01033877517322
"428","NARANJADAS Y BEBIDAS","NARANJADAS Y BEBIDAS","VDM Poniente","ON PREMISE","ORO",4.15784625812716
"429","AGUA CON GAS","COLAS","VDM Poniente","ON PREMISE","PLATA",0.936920232433996
"430","COLAS","AGUA CON GAS","VDM Poniente","ON PREMISE","PLATA",0.936920232433996
"431","COLAS","SABORES","VDM Poniente","ON PREMISE","PLATA",1.05487963014659
"432","COLAS","NARANJADAS Y BEBIDAS","VDM Poniente","ON PREMISE","PLATA",1.07399183859931
"433","NARANJADAS Y BEBIDAS","COLAS","VDM Poniente","ON PREMISE","PLATA",1.07399183859931
"434","AGUA CON GAS","AGUA SIN GAS","VDM Poniente","ON PREMISE","PLATA",1.09997348408745
"435","AGUA SIN GAS","SABORES","VDM Poniente","ON PREMISE","PLATA",1.22307430413402
"436","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Poniente","ON PREMISE","PLATA",1.29624087792043
"437","NARANJADAS Y BEBIDAS","NARANJADAS Y BEBIDAS","VDM Poniente","ON PREMISE","PLATA",1.34418805433763
"438","SABORES","SABORES","VDM Poniente","ON PREMISE","PLATA",1.34553004171044
"439","AGUA SIN GAS","COLAS","VDM Poniente","ON PREMISE","PLATA",1.38070097871171
"440","AGUA CON GAS","NARANJADAS Y BEBIDAS","VDM Poniente","ON PREMISE","PLATA",1.38168993879219
"441","NARANJADAS Y BEBIDAS","AGUA CON GAS","VDM Poniente","ON PREMISE","PLATA",1.38168993879219
"442","SABORES","AGUA CON GAS","VDM Poniente","ON PREMISE","PLATA",1.46622121472809
"443","AGUA CON GAS","SABORES","VDM Poniente","ON PREMISE","PLATA",1.4662212147281
"444","NARANJADAS Y BEBIDAS","SABORES","VDM Poniente","ON PREMISE","PLATA",1.50481424089266
"445","COLAS","COLAS","VDM Poniente","ON PREMISE","PLATA",1.63969738002613
"446","AGUA SIN GAS","AGUA SIN GAS","VDM Poniente","ON PREMISE","PLATA",2.2372219358178
"447","AGUA CON GAS","AGUA CON GAS","VDM Poniente","OTROS","BRONCE",0
"448","COLAS","SABORES","VDM Poniente","OTROS","BRONCE",0.86734693877551
"449","SABORES","SABORES","VDM Poniente","OTROS","BRONCE",1.03174603174603
"450","COLAS","COLAS","VDM Poniente","OTROS","BRONCE",1.32539682539683
"451","AGUA CON GAS","COLAS","VDM Poniente","OTROS","BRONCE",1.42857142857143
"452","AGUA CON GAS","SABORES","VDM Poniente","OTROS","BRONCE",1.58730158730159
"453","AGUA SIN GAS","JUGOS Y NÉCTARES","VDM Poniente","OTROS","CUSTOMIZADO",0.4
"454","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Poniente","OTROS","CUSTOMIZADO",0.711111111111111
"455","NARANJADAS Y BEBIDAS","SABORES","VDM Poniente","OTROS","CUSTOMIZADO",0.815555555555556
"456","AGUA SIN GAS","SABORES","VDM Poniente","OTROS","CUSTOMIZADO",0.992592592592593
"457","JUGOS Y NÉCTARES","NARANJADAS Y BEBIDAS","VDM Poniente","OTROS","CUSTOMIZADO",1.00666666666667
"458","COLAS","COLAS","VDM Poniente","OTROS","CUSTOMIZADO",1.02962962962963
"459","COLAS","SABORES","VDM Poniente","OTROS","CUSTOMIZADO",1.03217171717172
"460","COLAS","JUGOS Y NÉCTARES","VDM Poniente","OTROS","CUSTOMIZADO",1.09333333333333
"461","AGUA SIN GAS","COLAS","VDM Poniente","OTROS","CUSTOMIZADO",1.12909090909091
"462","COLAS","NARANJADAS Y BEBIDAS","VDM Poniente","OTROS","CUSTOMIZADO",1.18886868686869
"463","SABORES","SABORES","VDM Poniente","OTROS","CUSTOMIZADO",1.27288888888889
"464","NARANJADAS Y BEBIDAS","NARANJADAS Y BEBIDAS","VDM Poniente","OTROS","CUSTOMIZADO",1.6
"465","JUGOS Y NÉCTARES","SABORES","VDM Poniente","OTROS","CUSTOMIZADO",1.78555555555556
"466","JUGOS Y NÉCTARES","JUGOS Y NÉCTARES","VDM Poniente","OTROS","CUSTOMIZADO",2.4
"467","AGUA SIN GAS","AGUA SIN GAS","VDM Poniente","OTROS","CUSTOMIZADO",3.11111111111111
"468","AGUA CON GAS","TÉ","VDM Poniente","OTROS","PLATA",0
"469","AGUA CON GAS","JUGOS Y NÉCTARES","VDM Poniente","OTROS","PLATA",0.8
"470","SABORES","TÉ","VDM Poniente","OTROS","PLATA",0.85
"471","JUGOS Y NÉCTARES","NARANJADAS Y BEBIDAS","VDM Poniente","OTROS","PLATA",0.966666666666667
"472","JUGOS Y NÉCTARES","SABORES","VDM Poniente","OTROS","PLATA",0.97
"473","AGUA CON GAS","AGUA SIN GAS","VDM Poniente","OTROS","PLATA",1
"474","SABORES","SABORES","VDM Poniente","OTROS","PLATA",1.025
"475","NARANJADAS Y BEBIDAS","SABORES","VDM Poniente","OTROS","PLATA",1.18333333333333
"476","AGUA CON GAS","NARANJADAS Y BEBIDAS","VDM Poniente","OTROS","PLATA",1.66666666666667
"477","AGUA CON GAS","SABORES","VDM Poniente","OTROS","PLATA",1.85
"478","TÉ","TÉ","VDM Poniente","OTROS","PLATA",5
"479","ISOTÓNICO E HIDROTON","ISOTÓNICO E HIDROTON","VDM Poniente","OTROS","SIN ASIGNAR",0
"480","AGUA CON GAS","NARANJADAS Y BEBIDAS","VDM Poniente","OTROS","SIN ASIGNAR",3.98005698005698
"481","AGUA SIN GAS","AGUA SIN GAS","VDM Poniente","OTROS","SIN ASIGNAR",5.29166666666667
"482","NARANJADAS Y BEBIDAS","NARANJADAS Y BEBIDAS","VDM Poniente","OTROS","SIN ASIGNAR",5.60826210826211
"483","COLAS","NARANJADAS Y BEBIDAS","VDM Poniente","OTROS","SIN ASIGNAR",6.13667587459744
"484","AGUA CON GAS","COLAS","VDM Poniente","OTROS","SIN ASIGNAR",6.16913738222562
"485","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Poniente","OTROS","SIN ASIGNAR",6.42537986704653
"486","COLAS","COLAS","VDM Poniente","OTROS","SIN ASIGNAR",6.4859030340201
"487","AGUA CON GAS","SABORES","VDM Poniente","OTROS","SIN ASIGNAR",6.51097027972028
"488","ISOTÓNICO E HIDROTON","NARANJADAS Y BEBIDAS","VDM Poniente","OTROS","SIN ASIGNAR",6.66659544159544
"489","NARANJADAS Y BEBIDAS","SABORES","VDM Poniente","OTROS","SIN ASIGNAR",7.07128657825239
"490","AGUA CON GAS","AGUA SIN GAS","VDM Poniente","OTROS","SIN ASIGNAR",7.27604166666667
"491","COLAS","SABORES","VDM Poniente","OTROS","SIN ASIGNAR",7.35023190549795
"492","SABORES","SABORES","VDM Poniente","OTROS","SIN ASIGNAR",7.95180467395852
"493","AGUA SIN GAS","COLAS","VDM Poniente","OTROS","SIN ASIGNAR",8.33681735951957
"494","COLAS","ISOTÓNICO E HIDROTON","VDM Poniente","OTROS","SIN ASIGNAR",8.82099407944996
"495","AGUA SIN GAS","SABORES","VDM Poniente","OTROS","SIN ASIGNAR",8.89412190818441
"496","ISOTÓNICO E HIDROTON","SABORES","VDM Poniente","OTROS","SIN ASIGNAR",9.50896464646465
"497","SABORES","ISOTÓNICO E HIDROTON","VDM Poniente","OTROS","SIN ASIGNAR",9.50896464646465
"498","AGUA CON GAS","ISOTÓNICO E HIDROTON","VDM Poniente","OTROS","SIN ASIGNAR",15.875
"499","AGUA SIN GAS","ISOTÓNICO E HIDROTON","VDM Poniente","OTROS","SIN ASIGNAR",18.5208333333333
"500","COLAS","COLAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.18911962794087
"501","AGUA SIN GAS","COLAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.32547236815679
"502","COLAS","SABORES","VDM Poniente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.39713931228043
"503","COLAS","NARANJADAS Y BEBIDAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.3974260538109
"504","AGUA SIN GAS","SABORES","VDM Poniente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.6336203460007
"505","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.63399933360276
"506","AGUA SIN GAS","AGUA SIN GAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.80334223831352
"507","NARANJADAS Y BEBIDAS","SABORES","VDM Poniente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.91760642050799
"508","SABORES","SABORES","VDM Poniente","PUNTO DE VENTA TRADICIONAL","BRONCE",1.93425853133775
"509","NARANJADAS Y BEBIDAS","NARANJADAS Y BEBIDAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","BRONCE",2.05675780490978
"510","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.02560431938482
"511","NARANJADAS Y BEBIDAS","SABORES","VDM Poniente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.19906911622629
"512","COLAS","NARANJADAS Y BEBIDAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.20165802301196
"513","NARANJADAS Y BEBIDAS","COLAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.20165802301196
